1;2791.00;10.10;1571.00;big
1;2760.00;10.43;1563.00;big
2;2734.00;11.30;1576.00;big
2;2763.00;11.38;1612.00;big
3;2720.00;13.20;1692.00;big
3;2735.00;11.82;1657.00;big
4;2663.00;10.05;1586.00;big
4;2684.00;9.98;1614.00;big
5;2900.00;9.60;1570.00;big
5;2882.00;9.73;1537.00;big
6;2932.00;10.32;1563.00;big
6;2960.00;9.70;1586.00;big
7;2922.00;10.60;1529.00;big
7;2942.00;13.88;1485.00;big
8;3005.00;9.70;1580.00;big
8;3001.00;10.35;1544.00;big
9;3137.00;9.50;1742.00;big
9;3009.00;9.50;1628.00;big
10;3047.00;11.40;1793.00;big
10;3039.00;9.85;1695.00;big
11;2932.00;14.13;1735.00;big
11;2971.00;12.70;1794.00;big
12;3275.00;10.55;1933.00;big
12;3108.00;11.30;1902.00;big
13;3248.00;9.53;1804.00;big
13;3180.00;9.50;1777.00;big
14;3902.00;9.70;1678.00;big
14;3787.00;10.40;1688.00;big
16;2800.00;9.50;1783.00;big
16;2821.00;9.50;1650.00;big
17;3515.00;10.90;759.00;big
17;3419.00;16.58;853.00;big
18;2836.00;9.50;1555.00;big
18;2754.00;9.50;1518.00;big
19;2834.00;10.10;1498.00;big
19;2896.00;10.43;1482.00;big
20;2887.00;9.73;1414.00;big
20;2834.00;10.00;1412.00;big
21;3023.00;14.18;1465.00;big
21;2944.00;10.25;1432.00;big
22;3025.00;12.32;1511.00;small
22;3068.00;12.48;1516.00;small
22;3051.43;12.70;1509.74;big
22;3043.88;10.40;1529.52;big
23;3049.00;12.38;1337.00;big
23;2991.00;11.10;1388.00;big
24;3041.00;12.55;1431.00;big
24;3078.00;14.50;1401.00;big
25;3154.00;11.57;1327.00;big
25;3163.00;9.53;1279.00;big
26;3179.00;12.75;1376.00;big
26;3218.00;9.90;1371.00;big
27;3129.00;9.80;1461.00;big
27;3085.00;10.13;1450.00;big
28;3612.00;10.00;982.00;big
28;3466.00;11.88;1059.00;big
29;3089.00;9.50;1209.00;big
29;3029.00;9.50;1248.00;big
30;3359.00;9.50;1389.00;big
